Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Minnesota,10,15,19,-2.0,13,110.0,20,52.0%,13,14.5%,12,26.4%,5,23.1,22,112.0,18,53.0%,24,13.9%,17,25.9%,21,21.7
Chicago,10,18,20,-2.3,28,104.0,27,50.2%,18,15.4%,20,24.7%,20,19.1,10,106.4,15,52.1%,1,17.9%,23,26.8%,30,24.6
San Antonio,10,15,21,-3.3,17,108.9,23,51.6%,4,13.3%,27,23.3%,12,20.1,23,112.2,21,53.3%,29,12.8%,8,24.4%,13,18.9
Sacramento,12,14,22,-3.4,22,107.2,13,52.6%,24,16.0%,15,25.6%,29,16.1,18,110.6,22,54.0%,8,15.7%,21,26.5%,15,19.4
Memphis,9,17,23,-5.6,25,106.0,19,52.0%,23,15.7%,21,24.6%,28,17.0,21,111.6,19,53.2%,20,14.5%,13,25.2%,26,23.4
New Orleans,6,21,24,-5.9,16,109.1,8,53.7%,21,15.5%,19,25.0%,26,17.5,29,115.0,27,55.2%,15,14.9%,20,26.4%,24,23.0
Charlotte,12,17,25,-6.3,23,107.1,22,51.8%,22,15.7%,13,26.2%,24,18.3,25,113.5,26,55.0%,12,15.0%,26,27.4%,3,16.7
Washington,7,17,26,-6.4,6,112.0,7,53.8%,9,13.8%,24,24.0%,23,18.4,30,118.4,30,57.1%,13,14.9%,27,27.8%,25,23.1
Atlanta,6,21,27,-9.4,26,105.0,24,51.2%,30,16.8%,8,26.9%,21,18.9,27,114.3,25,54.5%,6,15.9%,30,29.1%,27,23.7
New York,6,21,28,-9.4,30,103.4,30,48.6%,16,15.1%,2,28.4%,22,18.6,24,112.8,24,54.2%,22,14.5%,14,25.3%,23,22.0
Cleveland,6,20,29,-9.9,27,104.6,26,50.3%,28,16.4%,5,27.6%,25,17.6,28,114.6,28,56.0%,25,13.4%,12,25.2%,1,15.4
Golden State,5,23,30,-10.4,29,103.7,29,48.7%,14,14.9%,18,25.3%,9,21.3,26,114.1,29,56.1%,7,15.8%,25,27.2%,9,18.2
